area,city,description,external_id,extra_images_count,extra_is_approved,extra_is_shop,extra_published_on,extra_publisher_name,extra_state,extra_subcategory,image,price,source,title
L Aouina,Tunis,Caractéristiques : • 2 chambres + salon • Chauffage central • 2 salles de bain • 2 téléviseurs Smart • Cuisine entièrement équipée • Internet • Machine à laver automatique,699219628cc6eb8dfec47d3e,10,False,True,2026-02-16T23:31:39.000Z,AGENCE IMMOBILIERE ELAMEN,2,60be84bd50ab95b45b08a09e,https://cdn.tayara.tn/0e/0e9abafc-6550-45c6-8e65-5faa7859d6c5,120,tayara,Maison moderne en rez-de-chaussée à louer par nuitée à l’aouina Cité El Wahat
L Aouina,Tunis,"À louer pour courte durée, appartement entièrement meublé situé dans une résidence calme et sécurisée à Laouina, Tunis. Idéal pour voyageurs, professionnels ou familles souhaitant un séjour confortable Équipements : Wi‑Fi haut débit, Smart TV, climatisation, cuisine équipée, mobilier moderne شقة مفروشة بالكامل في إقامة هادئة ومؤمنة. المرافق: واي فاي، تلفاز ذكي، تكييف، مطبخ مجهز. قريبة من المحلات ووسائل النقل.",6993a8818cc6eb8dfec5315a,6,False,False,2026-02-16T23:30:09.000Z,ghassen,2,60be84bd50ab95b45b08a09c,https://cdn.tayara.tn/79/797e2ce8-be75-4c56-9a48-b09cfa87d787,100,tayara,studio meublé a laouina 
Chotrana 3,Ariana,"Réf : SVF 981 ** Soukra Négoce vous propose à la vente un joli appartement S2 situé dans une résidence calme et sécurisée. ** L'appartement se compose comme suit : un salon , une cuisine équipée avec un séchoir, deux chambres à coucher avec dressings et une salle de bain commune ** une place de parking au sous-sol ** Prix de vente: 330 MD 𝙋𝙤𝙪𝙧 𝙥𝙡𝙪𝙨 𝙙𝙚 𝙧𝙚𝙣𝙨𝙚𝙞𝙜𝙣𝙚𝙢𝙚𝙣𝙩𝙨 𝙘𝙤𝙣𝙩𝙖𝙘𝙩𝙚𝙯-𝙣𝙤𝙪𝙨 : +216 28 380 308 / 54977877 ""𝙄𝙣𝙨𝙥𝙞𝙧𝙚́ 𝙙𝙚 𝙫𝙤𝙨 𝙗𝙚𝙨𝙤𝙞𝙣𝙨""",69301c20265523b710ef0726,7,False,True,2026-02-16T23:22:29.000Z,soukra negoce,2,60be84bd50ab95b45b08a09c,https://cdn.tayara.tn/a7/a74c739b-e7b7-4293-a0e5-5091119b0b9b,330000,tayara,À vendre un joli appartement S2 à Chotrana 3
tunis,tunis,ON vous propose à la vente d'un appartement S+2 Neuf situé dans un quartier résidentiel calme et recherché aux Jardins de Carthage. Caractéristiques : Superficie couverte : 75 m² Grande terrasse Jardin : 45 m² Appartement lumineux et bien agencé Résidence calme et sécurisée Proche de toutes les commodités Prix : 520 000 DT Localisation : Jardins de Carthage ☎️ 98 305 239 / 99 984 810 / WhatsApp : 00216 98 30 52 39 🏢 KESKES IMMO & SERVICES #JardinsDeCarthage #AppartementAVendre #ImmobilierTunisie #S2 #Terrasse #InvestissementImmobilier #KesKesImmo #VenteAppartement #HautStanding,6989bb091a74f8e7049fdb8a,1,False,True,2026-02-16T22:51:13.000Z,Agence Keskes,2,60be84bd50ab95b45b08a09c,https://cdn.tayara.tn/b9/b96b5a6b-00ed-4332-9bbb-4c2d438b0f17,520000,tayara,Titre : À vendre appartement S+2 avec grande terrasse – Jardins de Carthage 520 MD 
Ennasr,Ariana,"OFFRE EXCLUSIF POUR ÉTRANGER. Propriétaire offre pour un étranger une location à l'année d'un Appartement S2 bien et luxueusement meublé . Situé au 1er étage à la résidence Riadh Ennasr2, très proche du magasin général gouvernorat d'Ariana, sécurisée gardée jours et nuits avec double ascenseurs. Appartement de haut standing, état neuf bien lumineux et ensoleillé . Se compose de : - une entrée, - une cuisine indépendante bien équipée ( réfrigérateur micro-ondes fourmachine à laver...). - séchoir. - 2 chambres de nuits dont une chambre avec un balcon. - un salon - une salle de bains. - un grand terrasse avec des bacs de plantes très jolies. - 2 Places de parking au sous-sol. Equipé de chauffage central 3 climatiseurs une connexion internet par Wifi illimitée télé LCD avec récepteur numérique. Prix du loyer à l'année 1600 dt /mois avec 2mois de caution . GSM propriétaire 216 55690000",69939e9a6cd42e2d7b6ed040,10,False,False,2026-02-16T22:47:54.000Z,chtourourachida67@gmail.com,2,60be84bd50ab95b45b08a09c,https://cdn.tayara.tn/e3/e3251525-d5b1-4c09-851a-b9ed91c48cb4,1600,tayara,S+2 meublé Ennasr2 Excellent état et emplacement pour étranger 
Jardins De Carthage,Tunis,"L’agence immobilière Century 21 Masters vous propose à la location un appartement S2 meublé situé aux Jardins de Carthage. Caractéristiques : Salon Cuisine aménagée et équipée (four, hotte, plaque) Deux chambres à coucher Salle de bain Chauffage central Climatisation en split système Une place de parking en sous-sol Pour plus d’informations, contactez nous au : Contact : 23 22 12 22 / 24 935 936",692727e903baa28ad01328ab,7,False,True,2026-02-16T22:45:09.000Z,CENTURY 21 Masters,2,60be84bd50ab95b45b08a09c,https://cdn.tayara.tn/44/4434b503-8392-4f1a-838e-ef1eff94b5c2,2300,tayara,À louer S2 meublé aux Jardins de Carthage
Jardins De Carthage,Tunis,"L’agence immobilière Century 21 Masters vous propose à la location un spacieux appartement S+4 situé aux Jardins de Carthage. Caractéristiques : – Double salon lumineux – Cuisine aménagée et équipée (four, hotte, plaque) – 4 chambres à coucher dont 2 suites – Salle de bain – Chauffage central – Climatisation en split système Pour plus d’informations, veuillez nous contacter : 📞 +216 23 221 222",693c29388914daae519a4a9e,8,False,True,2026-02-16T22:45:09.000Z,CENTURY 21 Masters,2,60be84bd50ab95b45b08a09c,https://cdn.tayara.tn/37/37c05103-d450-43f0-80bc-1b8c63f5bb80,4000,tayara,À Louer | Appartement S+4 – Jardins de Carthage
La Soukra,Ariana,"L’agence immobilière Century 21 vous propose à la vente un appartement S+3 situé à La Soukra. Il se compose de : Un salon avec une grande terrasse Une suite parentale Deux chambres à coucher Une cuisine équipée Une salle d’eau Pour plus d’informations, veuillez nous contacter au : +216 23 221 222 / +216 98 276 463",694ea6ab8914daae51a1eb7f,9,False,True,2026-02-16T22:43:39.000Z,CENTURY 21 Masters,2,60be84bd50ab95b45b08a09c,https://cdn.tayara.tn/d8/d83ba21f-e983-4cf9-a2bd-09d350e3e688,500000,tayara,À vendre – Appartement S+3 à La Soukra
Mutuelleville,Tunis,"L’agence immobilière Century 21 Masters vous propose à la location un rez-de-chaussée en S+3 de 150 m² avec une entrée indépendante situé à Mutuelle ville . Type : Rez-de-chaussée Typologie : S+3 Il se compose de : –Double salon –Une cuisine équipée, aménagée –Deux chambre à coucher -Une suite parentale –Une salle de bain –Chauffage central –Climatisation en split système –Un garage Pour plus d’informations veuillez nous contacter au : +216 24 935 936 / +216 23 221 222 Email : cun@century21.tn",695e379f8914daae51a754ff,1,False,True,2026-02-16T22:43:39.000Z,CENTURY 21 Masters,2,60be84bd50ab95b45b08a09c,https://cdn.tayara.tn/62/627402db-0f48-4025-96fb-0022dd4a7af9,2700,tayara,À louer un rez-de-chaussée de villa en S+3 à Mutuelleville 
Centre Ville Lafayette,Tunis,"🔥 Offre du jour – Immeuble à louer à Lafayette ! 🔥 📍 Emplacement : Avenue de la Liberté . Mettez en valeur votre activité dans un immeuble de 9 étages, idéalement situé au cœur de Lafayette. Superficie par étage : 360 m² Superficie totale : 3 200 m² Sous-sol avec parking : capacité de 6 à 7 véhicules Double ascenseur pour plus de confort et de praticité 🔹 Parfait pour : siège social, entreprises de services, centres d’affaires, institutions… 📞 Pour plus d’informations ou pour organiser une visite : 📱 Tél / WhatsApp : 21 221 122 / 24 936 937 📧 Email : cun@century21.tn",68bbf813985e647fd0e8b7fb,10,False,True,2026-02-16T22:42:07.000Z,CENTURY 21 Masters,2,60be84be50ab95b45b08a0a0,https://cdn.tayara.tn/a9/a9b3e9df-3259-4561-a574-93ae3b1b5660,40000,tayara, Immeuble à louer à Lafayette  
