page;source;type_bien;localisation;prix;surface;reference;description;lien;image;date_collecte;prix_num
1;century21_tn;Duplex;JARDINS D'EL MENZAH 1;630.000;225 m²;Réf: 707937;L’agence immobilière Century 21 vous propose à la vente un duplex situé à El menzah 9C. superficie 225 m² type S+3 avec chambre de service. Il se comp...;https://century21.tn/property/a-vendre-duplex-rdc-menzah-9c/;https://logis.fra1.digitaloceanspaces.com/11/Properties/144895/conversions/MTGlNfFWsti6hVBt-thumb.jpg?c=1;17/02/2026 1:17;630.0
1;century21_tn;Villa;RIADH LANDLOUS;;475 m²;Réf: 18260;L’agence immobilière Century 21 Alliance vous propose à la vente une villa située à Riadh landalous d’une superficie de 475 m2. * Composition de la vi...;https://century21.tn/property/a-vendre-une-villa-situe-a-riadh-landalous/;https://logis.fra1.digitaloceanspaces.com/16/Properties/143783/conversions/Jd0GJRd5kWwhgzX5-thumb.jpg?c=1;17/02/2026 1:17;
1;century21_tn;Appartement;RIADH LANDLOUS;415.000;137 m²;Réf: 364853;L’agence immobilière Century 21 Karaouli vous propose à la vente un appartement S+3, idéalement situé à Riadh El Andalous L’appartement se compose de ...;https://century21.tn/property/a-vendre-appartement-s3-riadh-landlous-3/;https://logis.fra1.digitaloceanspaces.com/15/Properties/146665/conversions/tbhRyVVTmmXXD8pT-thumb.jpg?c=1;17/02/2026 1:17;415.0
1;century21_tn;Terrain Promoteur;SIDI DAOUD;1.600;2000 m²;Réf: 26587;Excellente opportunité à saisir ! L’agence immobilière Century 21 Invest vous propose pour la vente un terrain destiné à la promotion immobilière, sit...;https://century21.tn/property/a-vendre-terrain-de-2000-m%c2%b2-a-sidi-daoud/;https://logis.fra1.digitaloceanspaces.com/4/Lands/147504/conversions/Gjmbm8j4Kqu3ZpbL-thumb.jpg?c=1;17/02/2026 1:17;1.6
1;century21_tn;Villa;NABEUL CENTRE;500.000;192 m²;Réf: 42368-2;L’agence Century 21 Challenge vous propose à la location une charmante maison meublée, de style arabesque, idéalement située en plein centre-ville de ...;https://century21.tn/property/a-vendre-une-maison-de-style-arabesque-au-centre-ville-de-nabeul/;https://logis.fra1.digitaloceanspaces.com/10/Properties/97979/conversions/2jhgSdiyW7LluxsY-thumb.jpg?c=1;17/02/2026 1:17;500.0
1;century21_tn;;EL MENZAH 5;60.000;50 m²;Réf: 376651;L’agence immobilière Century 21 Alliance vous propose un fonds de commerce de 50m² . Emplacement : Menzah 5 Type : fonds de commerce Pour plus d’infor...;https://century21.tn/property/a-vendre-fonds-de-commerce-menzah-5/;https://logis.fra1.digitaloceanspaces.com/16/Properties/147476/conversions/VJM8WpQaTxAsApHz-thumb.jpg?c=1;17/02/2026 1:17;60.0
1;century21_tn;Appartement;CITÉ EL WAFA AFH 2;535.000;144 m²;Réf: 151674;L’agence immobilière Century 21 Challenge vous propose pour la vente un appartement S+2 situé dans une très belle résidence à Cité El Wafa AFH2 Nabeul...;https://century21.tn/property/a-vendre-un-appartement-s3-cite-el-wafa-afh2-nabeul/;https://logis.fra1.digitaloceanspaces.com/10/Properties/147437/conversions/5RbYd6QbE6r9yiSL-thumb.jpg?c=1;17/02/2026 1:17;535.0
1;century21_tn;Appartement;JARDINS DE CARTHAGE;564.000;97 m²;Réf: 375752;L’agence immobilière Century 21 Invest vous propose pour la vente un appartement S+2 neuf promoteur situé aux jardins de Carthage Typologie : S+2 Supe...;https://century21.tn/property/a-vendre-appartement-s2-jardins-de-carthage-6/;https://logis.fra1.digitaloceanspaces.com/4/Properties/147420/conversions/jGYjIhtRUvSoJF5v-thumb.jpg?c=1;17/02/2026 1:17;564.0
1;century21_tn;;LES BERGES DU LAC 2;;80 m²;Réf: 400789;L’agence CENTURY 21 Infinity vous propose à la vente un fonds de commerce idéalement situé aux Lac 2, dans un emplacement premium. La superficie total...;https://century21.tn/property/a-vendre-fonds-de-commerce-h0-les-berges-du-lac-2-2/;https://logis.fra1.digitaloceanspaces.com/7/Properties/147392/conversions/zF0gFQze5Thm30mj-thumb.jpg?c=1;17/02/2026 1:17;
2;century21_tn;Appartement;CENTRE URBAIN NORD;330.000;100 m²;Réf: 126600;L’agence immobilière Century 21 Karaouli vous propose à la vente un appartement s+2 situé à Centre urbain nord Composition : – Un salon – Une cuisine ...;https://century21.tn/property/a-vendre-appartement-s2-centre-urbain-nord/;https://logis.fra1.digitaloceanspaces.com/15/Properties/141808/conversions/j9Se7t1U5vOD56JV-thumb.jpg?c=1;17/02/2026 1:17;330.0
2;century21_tn;Terrain Villa;CHOTRANA 3;1.500;419 m²;Réf: 490684;L’agence immobilière Century 21 Patrimoine vous propose à la vente un terrain situé à Chotrana 3, dans un quartier résidentiel. Caractéristiques : Sup...;https://century21.tn/property/a-vendre-un-terrain-de-419m%c2%b2-situe-a-chotrana-3/;https://logis.fra1.digitaloceanspaces.com/Logos%20%26%20Images/Login%20Images/KS4cbEdlbRhExx1fgzhX8P1SFCVbCNRw1Xmts9l5.jpg?c=1;17/02/2026 1:17;1.5
2;century21_tn;Terrain Villa;SIDI FREJ;665.600;832 m²;Réf: 324531;🏡 L’agence immobilière Century 21 Horizon vous propose à la vente : Terrain d’une superficie de 832 m² à proximité de la mosquée Sidi Fraj 🕌 et de Sou...;https://century21.tn/property/un-terrain-a-la-soukra-sidi-fraj/;https://logis.fra1.digitaloceanspaces.com/13/Lands/147290/conversions/z9uuiuL6smxr7cCJ-thumb.jpg?c=1;17/02/2026 1:17;665.6
2;century21_tn;Villa;EL MENZAH 6;;380 m²;Réf: 262804;L’agence immobilière Century 21 Alliance vous propose à la vente une villa d’environ 380m² sur un terrain de 680m², située à El Menzah6. Entourée d’un...;https://century21.tn/property/a-vendre-villa-s3-el-menzah-6/;https://logis.fra1.digitaloceanspaces.com/16/Properties/146784/conversions/yUVPb1vWyyzpf3qg-thumb.jpg?c=1;17/02/2026 1:17;
2;century21_tn;Villa;EL MENZAH 9;;1000 m²;Réf: 680960;L’agence immobilière Century 21 Alliance vous propose à la vente une propriété de prestige, inspirée de l’architecture néo-classique. Édifiée sur un t...;https://century21.tn/property/a-vendre-villa-de-maitre-situee-a-el-menzah-9/;https://logis.fra1.digitaloceanspaces.com/16/Properties/138438/conversions/t07itf3ELqZycgAf-thumb.jpg?c=1;17/02/2026 1:17;
2;century21_tn;Appartement;CHOTRANA 1;840.000;286 m²;Réf: 914426;L’agence immobilière Century 21 Infinity vous propose à la location un appartement S+3 à Chotrana 1 *Emplacement: Chotrana 1 *Typologie: S+3 *Superfic...;https://century21.tn/property/a-vendre-appartement-s3-chotrana-1-3/;https://logis.fra1.digitaloceanspaces.com/7/Properties/144116/conversions/cnviqZY3qib0QlYh-thumb.jpg?c=1;17/02/2026 1:17;840.0
2;century21_tn;Appartement;EL MANAR 1;265.000;119 m²;Réf: 452311;L’agence immobilière Century 21 Patrimoine vous propose à la vente un appartement en H+3 situé à El Manar 1. Type de bien : usage mixte (bureautique e...;https://century21.tn/property/a-vendre-un-appartement-en-h3-a-el-manar-1/;https://logis.fra1.digitaloceanspaces.com/11/Properties/147164/conversions/SAtceqa5bjiN6mve-thumb.jpg?c=1;17/02/2026 1:17;265.0
2;century21_tn;Appartement;JARDINS DE CARTHAGE;900.000;170 m²;Réf: 652826;L’agence Century 21 Invest vous propose pour la vente un appartement S+3 avec Jardin aux Jardins de Carthage. Superficie: 170m² Jartin : 60m² Terrasse...;https://century21.tn/property/a-vendre-appartement-s3-avec-jard-aux-jardins-de-carthage/;https://logis.fra1.digitaloceanspaces.com/4/Properties/147043/conversions/WXsn6Ywbn7GFC5aA-thumb.jpg?c=1;17/02/2026 1:17;900.0
2;century21_tn;Terrain Villa;LEBNA;446.500;1786 m²;Réf: 829133;L’agence Immobilière Century21 Challenge met à la vente un terrain d’une superficie de 1786m2 situé à Lebna du coté de la mer. ce terrain bénéficie d’...;https://century21.tn/property/a-vendre-terrain-a-batir-a-cite-la-plage-lebna/;https://logis.fra1.digitaloceanspaces.com/10/Lands/138376/conversions/IkmAH2PqPAHUyaAT-thumb.jpg?c=1;17/02/2026 1:17;446.5
3;century21_tn;Appartement;GAMMARTH VILLAGE;;400 m²;Réf: 973997;L’agence immobilière CENTURY 21 BARROS vous propose à la vente une magnifique villa en s5 à Gammarth *Rez-de-chaussée : -Salon avec accès à la piscine...;https://century21.tn/property/a-vendre-appartement-s5-gammarth-village/;https://logis.fra1.digitaloceanspaces.com/6/Properties/146153/conversions/Dcrj3xsRSxVjus0N-thumb.jpg?c=1;17/02/2026 1:17;
3;century21_tn;Triplex;JARDINS DE CARTHAGE;1.800.000;223 m²;Réf: 543807-2;L’agence immobilière Century 21 Invest vous propose pour la vente un triplex S+3 avec une piscine aux Jardins de Carthage Direct promoteur . Typologie...;https://century21.tn/property/a-vendre-triplex-s4-jardins-de-carthage/;https://logis.fra1.digitaloceanspaces.com/4/Properties/146943/conversions/KTBYqDFQbk1asHJw-thumb.jpg?c=1;17/02/2026 1:17;
3;century21_tn;Villa;DAR FADHAL;370.000;160 m²;Réf: 63747;L’agence immobilière Century 21 Prestige vous propose à la vente une Villa de 160 m² construite sur un terrain de 180 m² Située à Dar Fadhal ,La Soukr...;https://century21.tn/property/a-vendre-villa-a-dar-fadhal-la-soukra/;https://logis.fra1.digitaloceanspaces.com/8/Properties/146461/conversions/ItBVFBGPKMnTAlQj-thumb.jpg?c=1;17/02/2026 1:17;370.0
