prix,surface,ville,type_bien,nb_pieces,source
660000,,Djerba - Houmt Souk,2,,remax
0,,El Omrane,2,,remax
3500,,Jardins de Carthage,2,,remax
990000,,Ennasr 1-2,2,,remax
386000,,Ennasr 1-2,2,,remax
13000,,Sidi Bou Said,2,,remax
4500,,Les Jardins du lac 2,2,,remax
275000,,El Menzah 1,2,,remax
120000,,Les Jardins du lac 2,1,,remax
250000,,La Soukra,2,,remax
1500000,,El Menzah 5,2,,remax
2000,,Jardins de Carthage,2,,remax
3488,,El Menzah 5,1,,remax
185000,,Chott mariem,2,,remax
1521450,,La Soukra,2,,remax
2619,,Riadh Landalous,2,,remax
1100,,Borj Louzir,1,,remax
1550000,,El Manar 3,2,,remax
635000,,La Manouba,2,,remax
1800,,L'Aouina,2,,remax
1200000,,Djerba - Midoun,2,,remax
2250000,,Carthage Byrsa,2,,remax
1700,,Jardins de Carthage,2,,remax
1650,,Jardins de Carthage,2,,remax
280000,,Unknown City,2,,remax
920000,,La Soukra,2,,remax
1500,,Ennasr 1-2,2,,remax
1500,,Tunis Centre Ville,1,,remax
3488,,Mnihla,1,,remax
1100000,,Djerba - Houmt Souk,2,,remax
400000,,Djerba - Houmt Souk,2,,remax
324000,,Djerba - Houmt Souk,2,,remax
2000,,El Manar 1,2,,remax
155000,,Medina Jedida,2,,remax
5525,,Djerba - Midoun,2,,remax
595000,,Cité El Ghazala,2,,remax
14000,,El Menzah 4,1,,remax
2800,,Centre Urbain Nord,1,,remax
1400000,,Les Jardins du lac 2,1,,remax
1800,,Centre Urbain Nord,1,,remax
6500,,Les berges du lac 1,1,,remax
33000,,Sidi Thabet,1,,remax
7700,,Les berges du lac 1,1,,remax
2200,,Tunis Centre Ville,1,,remax
235000,,Djerba - Houmt Souk,2,,remax
382000,,El Mourouj,2,,remax
2000,,Centre Urbain Nord,1,,remax
7500,,Les berges du lac 1,1,,remax
80000,,Tunis Centre Ville,1,,remax
5525,,Mégrine,2,,remax
410000,,La Soukra,2,,remax
2900,,Les berges du lac 1,1,,remax
5525,,Hammamet,2,,remax
375000,,El Manar 1,2,,remax
6500,,Mnihla,1,,remax
900,,Djerba - Midoun,2,,remax
7000,,La Goulette,1,,remax
1400000,,La Goulette,1,,remax
3500,,Sidi Bou Said,2,,remax
2500,,Séjoumi,1,,remax
0,,Ben Arous,1,,remax
4500,,Les berges du lac 1,1,,remax
245000,,El Manar 2,2,,remax
75000,,Les Jardins du lac 2,1,,remax
210000,,Borj Cedria,2,,remax
2620,,Djerba - Midoun,2,,remax
230000,,Chotrana,2,,remax
340000,,Hraïria,2,,remax
1400,,Chotrana,2,,remax
1900,,Ennasr 1-2,1,,remax
2900,,Oued Ellil,1,,remax
360000,,L'Aouina,2,,remax
0,,El Menzah 6,2,,remax
800000,,Ezzahra,2,,remax
356000,,Borj Cedria,2,,remax
115000,,Raoued,2,,remax
2619,,Les Jardins du lac 2,2,,remax
250000,,Djerba - Houmt Souk,2,,remax
3488,,Mégrine,1,,remax
1820000,,L'Aouina,2,,remax
1200000,,Place Pasteur,2,,remax
780000,,Djerba - Midoun,2,,remax
1680,,Monastir,2,,remax
200000,,El Menzah,1,,remax
235000,,Djerba - Houmt Souk,2,,remax
120000,,Djerba - Houmt Souk,2,,remax
550000,,Djerba - Midoun,2,,remax
2600,,Ennasr 1-2,2,,remax
420000,,Kélibia,2,,remax
650000,,Kélibia,2,,remax
1700,,Les berges du lac 1,2,,remax
3500,,Lac 2 Cité Les Pins,2,,remax
7500,,Gammarth,2,,remax
2500000,,Kélibia,2,,remax
178000,,Djerba - Houmt Souk,1,,remax
270000,,Djerba - Houmt Souk,1,,remax
545000,,Djerba - Houmt Souk,2,,remax
185000,,Sousse Ville,2,,remax
0,,Place Pasteur,1,,remax
2883200,,La Marsa,1,,remax
2619,,Ennasr 1-2,2,,remax
430000,,Ennasr 1-2,2,,remax
410000,,Djerba - Midoun,1,,remax
440000,,Chott mariem,2,,remax
2800,,Les Jardins du lac 2,2,,remax
400000,,La Soukra,2,,remax
0,,Séjoumi,1,,remax
380000,,L'Aouina,2,,remax
5800,,La Marsa,2,,remax
6800,,La Soukra,1,,remax
1600,,El Menzah 6,1,,remax
2619,,Jardins d’El Menzah1,2,,remax
4200,,La Soukra,1,,remax
3700,,Place Pasteur,1,,remax
1700,,Cité Jardin,1,,remax
520000,,L'Aouina,2,,remax
5500,,Notre Dame,2,,remax
3000,,Gammarth,2,,remax
280000,,Gammarth,2,,remax
0,,Carthage Byrsa,2,,remax
940000,,Fouchana,2,,remax
460000,,Djerba - Midoun,2,,remax
130000,,Hammam Lif,1,,remax
2500,,Centre Urbain Nord,2,,remax
990000,,Jardins d’El Menzah1,1,,remax
1350000,,El Mourouj,1,,remax
850000,,Tunis Centre Ville,2,,remax
3000,,Fouchana,1,,remax
3000,,Fouchana,1,,remax
30000,,Mnihla,2,,remax
0,,Fouchana,1,,remax
5525,,Fouchana,1,,remax
1500,,Fouchana,1,,remax
700,,Fouchana,1,,remax
8000,,Fouchana,1,,remax
26600,,El Mourouj,1,,remax
2619,,Bab El Bhar,2,,remax
8700,,La Soukra,1,,remax
3500,,Lac 2 Cité Les Pins,2,,remax
530000,,La Soukra,2,,remax
2700,,Carthage Amilcar,1,,remax
16000,,Les Jardins du lac 2,2,,remax
1250,,Ain Zaghouan,2,,remax
1600,,Ain Zaghouan,2,,remax
1400,,La Soukra,2,,remax
2619,,Radès,2,,remax
1850,,Ain Zaghouan,2,,remax
900000,,Riadh Landalous,1,,remax
650000,,Riadh Landalous,2,,remax
1800000,,El Manar 3,2,,remax
170000,,Djerba - Houmt Souk,2,,remax
305000,,Ain Zaghouan,2,,remax
950000,,Lac 2 Cité Les Pins,2,,remax
