address,area,area_m2,baths,beds,city,external_id,image,price,property_type,rooms,source,status,title,url
4180 Djerba - Houmt Souk Médenine Tunisie,beni bandou,,,,Djerba - Houmt Souk,138,,660000,2,,remax,,Djerba - Houmt Souk Médenine Tunisie,https://www.remax.com.tn/listings/138
Ras Tabia El Omrane Tunis Tunisie,,,,,El Omrane,3,,0,2,,remax,,El Omrane Tunis Tunisie,https://www.remax.com.tn/listings/3
Jardins de Carthage Tunis Tunisie,,,,,Jardins de Carthage,147,,3500,2,,remax,3500,Jardins de Carthage Tunis Tunisie,https://www.remax.com.tn/listings/147
Ennasr 1-2 Ariana Tunisie,,,,,Ennasr 1-2,290,,990000,2,,remax,950000,Ennasr 1-2 Ariana Tunisie,https://www.remax.com.tn/listings/290
Ennasr 1-2 Ariana Tunisie,,,,,Ennasr 1-2,228,,386000,2,,remax,385000,Ennasr 1-2 Ariana Tunisie,https://www.remax.com.tn/listings/228
Sidi Bou Said Tunis Tunisie,,,,,Sidi Bou Said,68,,13000,2,,remax,,Sidi Bou Said Tunis Tunisie,https://www.remax.com.tn/listings/68
Les Jardins du lac 2 Tunis Tunisie,,,,,Les Jardins du lac 2,80,,4500,2,,remax,,Les Jardins du lac 2 Tunis Tunisie,https://www.remax.com.tn/listings/80
El Menzah 1 El Menzah 1 Tunis Tunisie,,,,,El Menzah 1,6,,275000,2,,remax,,El Menzah 1 Tunis Tunisie,https://www.remax.com.tn/listings/6
Les Jardins du lac 2 Tunis Tunisie,,,,,Les Jardins du lac 2,36,,120000,1,,remax,,Les Jardins du lac 2 Tunis Tunisie,https://www.remax.com.tn/listings/36
Chotrana 3 La Soukra Ariana Tunisie,,,,,La Soukra,108,,250000,2,,remax,,La Soukra Ariana Tunisie,https://www.remax.com.tn/listings/108
El Menzah 5 Ariana Tunisie,,,,,El Menzah 5,23,,1500000,2,,remax,,El Menzah 5 Ariana Tunisie,https://www.remax.com.tn/listings/23
Jardins de Carthage Tunis Tunisie,,,,,Jardins de Carthage,30,,2000,2,,remax,,Jardins de Carthage Tunis Tunisie,https://www.remax.com.tn/listings/30
El Menzah 5 Ariana Tunisie,,,,,El Menzah 5,6,,3488,1,,remax,,El Menzah 5 Ariana Tunisie,https://www.remax.com.tn/listings/6
Chott mariem Sousse Tunisie,,,,,Chott mariem,35,,185000,2,,remax,,Chott mariem Sousse Tunisie,https://www.remax.com.tn/listings/35
Chotrana 2 La Soukra Ariana Tunisie,,,,,La Soukra,107,,1521450,2,,remax,,La Soukra Ariana Tunisie,https://www.remax.com.tn/listings/107
Riadh Landalous Ariana Tunisie,,,,,Riadh Landalous,10,,2619,2,,remax,,Riadh Landalous Ariana Tunisie,https://www.remax.com.tn/listings/10
Borj Louzir Ariana Tunisie,,,,,Borj Louzir,11,,1100,1,,remax,,Borj Louzir Ariana Tunisie,https://www.remax.com.tn/listings/11
2092 El Manar 3 Tunis Tunisie,,,,,El Manar 3,26,,1550000,2,,remax,,El Manar 3 Tunis Tunisie,https://www.remax.com.tn/listings/26
La Manouba Manouba Tunisie,,,,,La Manouba,6,,635000,2,,remax,,La Manouba Manouba Tunisie,https://www.remax.com.tn/listings/6
L'Aouina Tunis Tunisie,,,,,L'Aouina,38,,1800,2,,remax,,L'Aouina Tunis Tunisie,https://www.remax.com.tn/listings/38
- Tezdaîne-Taguermess - Djerba - Midoun Médenine Tunisie,,,,,Djerba - Midoun,148,,1200000,2,,remax,,Djerba - Midoun Médenine Tunisie,https://www.remax.com.tn/listings/148
Carthage Byrsa Carthage Byrsa Tunis Tunisie,,,,,Carthage Byrsa,679,,2250000,2,,remax,,Carthage Byrsa Tunis Tunisie,https://www.remax.com.tn/listings/679
Jardins de Carthage Tunis Tunisie,,,,,Jardins de Carthage,65,,1700,2,,remax,,Jardins de Carthage Tunis Tunisie,https://www.remax.com.tn/listings/65
Jardins de Carthage Tunis Tunisie,,,,,Jardins de Carthage,73,,1650,2,,remax,,Jardins de Carthage Tunis Tunisie,https://www.remax.com.tn/listings/73
,,,,,Unknown City,72,,280000,2,,remax,,,https://www.remax.com.tn/listings/72
Chotrana 2 La Soukra Ariana Tunisie,,,,,La Soukra,2,,920000,2,,remax,,La Soukra Ariana Tunisie,https://www.remax.com.tn/listings/2
Ennasr 1-2 Ariana Tunisie,,,,,Ennasr 1-2,244,,1500,2,,remax,,Ennasr 1-2 Ariana Tunisie,https://www.remax.com.tn/listings/244
Tunis Centre Ville Tunis Tunisie,,,,,Tunis Centre Ville,10,,1500,1,,remax,,Tunis Centre Ville Tunis Tunisie,https://www.remax.com.tn/listings/10
Mnihla Ariana Tunisie,,,,,Mnihla,5,,3488,1,,remax,,Mnihla Ariana Tunisie,https://www.remax.com.tn/listings/5
- Ellriadh - Djerba - Houmt Souk Djerba - Houmt Souk Médenine Tunisie,,,,,Djerba - Houmt Souk,20,,1100000,2,,remax,,Djerba - Houmt Souk Médenine Tunisie,https://www.remax.com.tn/listings/20
- Binibandou - Djerba - Houmt Souk Djerba - Houmt Souk Médenine Tunisie,,,,,Djerba - Houmt Souk,5,,400000,2,,remax,,Djerba - Houmt Souk Médenine Tunisie,https://www.remax.com.tn/listings/5
- Barkouk - Djerba - Houmt Souk Djerba - Houmt Souk Médenine Tunisie,,,,,Djerba - Houmt Souk,25,,324000,2,,remax,,Djerba - Houmt Souk Médenine Tunisie,https://www.remax.com.tn/listings/25
2092 El Manar 1 Tunis Tunisie,,,,,El Manar 1,5,,2000,2,,remax,,El Manar 1 Tunis Tunisie,https://www.remax.com.tn/listings/5
Medina Jedida Ben Arous Tunisie,,,,,Medina Jedida,14,,155000,2,,remax,,Medina Jedida Ben Arous Tunisie,https://www.remax.com.tn/listings/14
Djerba - Midoun Djerba - Midoun Médenine Tunisie,,,,,Djerba - Midoun,137,,5525,2,,remax,,Djerba - Midoun Médenine Tunisie,https://www.remax.com.tn/listings/137
Cité El Ghazala Ariana Tunisie,,,,,Cité El Ghazala,25,,595000,2,,remax,,Cité El Ghazala Ariana Tunisie,https://www.remax.com.tn/listings/25
El Menzah 4 Tunis Tunisie,,,,,El Menzah 4,119,,14000,1,,remax,,El Menzah 4 Tunis Tunisie,https://www.remax.com.tn/listings/119
Centre Urbain Nord Ariana Tunisie,,,,,Centre Urbain Nord,138,,2800,1,,remax,,Centre Urbain Nord Ariana Tunisie,https://www.remax.com.tn/listings/138
Les Jardins du lac 2 Tunis Tunisie,,,,,Les Jardins du lac 2,140,,1400000,1,,remax,,Les Jardins du lac 2 Tunis Tunisie,https://www.remax.com.tn/listings/140
Centre Urbain Nord Ariana Tunisie,,,,,Centre Urbain Nord,142,,1800,1,,remax,,Centre Urbain Nord Ariana Tunisie,https://www.remax.com.tn/listings/142
Les berges du lac 1 Tunis Tunisie,,,,,Les berges du lac 1,147,,6500,1,,remax,,Les berges du lac 1 Tunis Tunisie,https://www.remax.com.tn/listings/147
Cité El Bokri Sidi Thabet Ariana Tunisie,,,,,Sidi Thabet,148,,33000,1,,remax,,Sidi Thabet Ariana Tunisie,https://www.remax.com.tn/listings/148
Les berges du lac 1 Tunis Tunisie,,,,,Les berges du lac 1,164,,7700,1,,remax,,Les berges du lac 1 Tunis Tunisie,https://www.remax.com.tn/listings/164
Tunis Centre Ville Tunis Tunisie,,,,,Tunis Centre Ville,8,,2200,1,,remax,,Tunis Centre Ville Tunis Tunisie,https://www.remax.com.tn/listings/8
- Elrabah - Djerba - Houmt Souk Djerba - Houmt Souk Médenine Tunisie,,,,,Djerba - Houmt Souk,23,,235000,2,,remax,,Djerba - Houmt Souk Médenine Tunisie,https://www.remax.com.tn/listings/23
