DATE_TRIM;ANNEE;TRIMESTRE;GOUVERNORAT;REGION_INS;CODE_GOV;PRIX_M2_MEDIAN;PRIX_M2_APPT;PRIX_M2_MAISON;PRIX_M2_TERRAIN;IPIM_NATIONAL;IPIM_REGIONAL;GAP_INTERPOLE;PRIX_M2_MEDIAN_LAG1;PRIX_M2_MEDIAN_LAG4;PRIX_M2_MEDIAN_VAR_QOQ;PRIX_M2_MEDIAN_VAR_YOY;IPIM_REGIONAL_LAG1;IPIM_REGIONAL_LAG4;IPIM_REGIONAL_VAR_QOQ;IPIM_REGIONAL_VAR_YOY;TAUX_DIRECTEUR_BCT;IPC_MATERIAUX_CONSTR;TAUX_INFLATION;POPULATION;LITTORAL;TOURISTIQUE;SOURCE_PRIX;BVMT_CLOTURE_MOY;BVMT_VOLUME_TOT;BVMT_CAPITAUX_TOT;BVMT_NB_SEANCES
2015-01-01;2015;1;Ariana;Grand Tunis;12;1287.0;1390.0;1120.0;798.0;100.0;142.0;0;;;;;;;;;4.25;3.2;4.9;484471;0;0;marche_estime;;;;
2015-04-01;2015;2;Ariana;Grand Tunis;12;1311.0;1416.0;1141.0;813.0;103.2;146.54;0;1287.0;;0.0186;;142.0;;0.032;;4.25;3.2;4.9;484471;0;0;marche_estime;;;;
2015-07-01;2015;3;Ariana;Grand Tunis;12;1353.0;1461.0;1177.0;839.0;105.1;149.24;0;1311.0;;0.032;;146.54;;0.0184;;4.25;3.2;4.9;484471;0;0;marche_estime;;;;
2015-10-01;2015;4;Ariana;Grand Tunis;12;1395.0;1507.0;1214.0;865.0;107.8;153.08;0;1353.0;;0.031;;149.24;;0.0257;;4.25;3.2;4.9;484471;0;0;marche_estime;;;;
2016-01-01;2016;1;Ariana;Grand Tunis;12;1403.0;1515.0;1221.0;870.0;109.4;155.35;0;1395.0;1287.0;0.0057;0.0901;153.08;142.0;0.0148;0.094;4.25;3.8;3.7;484471;0;0;marche_estime;;;;
2016-04-01;2016;2;Ariana;Grand Tunis;12;1408.0;1521.0;1225.0;873.0;112.6;159.89;0;1403.0;1311.0;0.0036;0.074;155.35;146.54;0.0292;0.0911;4.25;3.8;3.7;484471;0;0;marche_estime;;;;
2016-07-01;2016;3;Ariana;Grand Tunis;12;1444.0;1560.0;1256.0;895.0;114.3;162.31;0;1408.0;1353.0;0.0256;0.0673;159.89;149.24;0.0151;0.0876;4.25;3.8;3.7;484471;0;0;marche_estime;;;;
2016-10-01;2016;4;Ariana;Grand Tunis;12;1484.0;1603.0;1291.0;920.0;116.9;166.0;0;1444.0;1395.0;0.0277;0.0638;162.31;153.08;0.0227;0.0844;4.25;3.8;3.7;484471;0;0;marche_estime;;;;
2017-01-01;2017;1;Ariana;Grand Tunis;12;1500.0;1620.0;1305.0;930.0;118.7;168.55;0;1484.0;1403.0;0.0108;0.0691;166.0;155.35;0.0154;0.085;5.0;5.1;5.3;484471;0;0;marche_estime;;;;
2017-04-01;2017;2;Ariana;Grand Tunis;12;1521.0;1643.0;1323.0;943.0;121.5;172.53;0;1500.0;1408.0;0.014;0.0803;168.55;159.89;0.0236;0.0791;5.0;5.1;5.3;484471;0;0;marche_estime;;;;
2017-07-01;2017;3;Ariana;Grand Tunis;12;1582.0;1709.0;1376.0;981.0;124.1;176.22;0;1521.0;1444.0;0.0401;0.0956;172.53;162.31;0.0214;0.0857;5.0;5.1;5.3;484471;0;0;marche_estime;;;;
2017-10-01;2017;4;Ariana;Grand Tunis;12;1613.0;1742.0;1403.0;1000.0;127.3;180.77;0;1582.0;1484.0;0.0196;0.0869;176.22;166.0;0.0258;0.089;5.0;5.1;5.3;484471;0;0;marche_estime;;;;
2018-01-01;2018;1;Ariana;Grand Tunis;12;1676.0;1810.0;1458.0;1039.0;130.2;184.88;0;1613.0;1500.0;0.0391;0.1173;180.77;168.55;0.0227;0.0969;6.75;7.2;7.3;484471;0;0;marche_estime;;;;
2018-04-01;2018;2;Ariana;Grand Tunis;12;1683.0;1818.0;1464.0;1043.0;138.7;196.95;0;1676.0;1521.0;0.0042;0.1065;184.88;172.53;0.0653;0.1415;6.75;7.2;7.3;484471;0;0;marche_estime;;;;
2018-07-01;2018;3;Ariana;Grand Tunis;12;1669.0;1803.0;1452.0;1035.0;141.9;201.5;0;1683.0;1582.0;-0.0083;0.055;196.95;176.22;0.0231;0.1435;6.75;7.2;7.3;484471;0;0;marche_estime;;;;
