id,name,verb
111622ada3e1,ne pas restituer le gage,ne
20f032f55f18,démolir sans autorisation,démolir
9f3e73fe352c,construire sans autorisation,construire
923026e501ba,sous-louer sans accord,sous-louer
8597bbcbd414,sous-louer ou prêter la totalité ou une partie de l'immeuble qui lui est donné en location par l'etat,sous-louer
745c6aadcc8c,"édifier des bâtiments à usage d'habitation, industriel ou de service non autorisés sur l'immeuble loué par l'etat",édifier
f8b8ae3ce798,faire apport sous forme de participation dans le capital d'une quelconque société quelle que soit sa forme sur l'immeuble loué par l'etat,faire
e325d0954ca9,contrevenir à une des conditions de bail autre que celles se rapportant à l'exécution des stipulations du programme de mise en valeur et de développement agricole,contrevenir
bbb9d5261181,modifier le contrat d’usufruit ou le résilier avant l’arrivée de son terme,modifier
65912c522806,interdire sous-louer ou prêt,interdire
d9842add0b39,être tenu compte du vote,être
c9137d572717,déchier droit,déchier
a190adbc2e0c,être tenus,être
d2a9642c095b,faire les fruits siens,faire
5539d7eaf001,supporter les frais d'entretien et ceux de perception des fruits,supporter
f2f3658d4804,supporter les vices qu'il ignore,supporter
02adb2fe2a15,examiner les dossiers soumis et se prononcer sur l'octroi de la délivrance du certificat de possession,examiner
5e51ef689534,délivrer le certificat de possession,délivrer
d65b4074a7af,requérir l'immatriculation immédiate à son profit par une simple requête,requérir
e93c113cd4de,autoriser le bail dans certains cas par décret,autoriser
3182b6370670,dressé par deux agents assermentés un procès-verbal de constat de la contravention,dressé
070ceed14b4e,"signifier une mise en demeure à son domicile par lettre recommandée avec accusé de réception ou par les voies administratives contre sa signature, celle de son préposé ou de son cohabitant majeur",signifier
fb4cdd5124c6,nommer curateur à la succession,nommer
38bc27ef6b83,transmettre les documents précités dans un délai de huit jours à dater de leur réception au président de la commission cadastrale,transmettre
decd0f313639,ordonner vente ou attribution,ordonner
ac0e553ad607,détruire ou perdre totale la chose donnée en gage,détruire
43c970f66fc4,détruire jusqu'à la limite de sa propriété,détruire
6990e8f54055,détruire,détruire
af8495b57347,revendiquer entre les mains du possesseur,revendiquer
4a752fff2396,renoncer au gage,renoncer
91508939b118,céder la dette sans le gage,céder
50c6156b4119,vendre le gage,vendre
7043e2c71798,exiger de celui qui la revendique le remboursement du prix par lui payé,exiger
39f0d006d274,"accorder des crédits à son titulaire et prendre en garantie de la créance, une hypothèque du premier rang sur les biens du débiteur",accorder
f7153f5f6e7f,résoudre le droit de la partie,résoudre
9f80f61d43f8,expirer le terme ou l'avènement de la condition résolutoire,expirer
5ebfb89eb897,autoriser bail,autoriser
8834c0583de7,vendre un bien immobilier,vendre
