id,text
2b7b46a46d02,tant que la dette n'est pas entièrement acquittée
98940a9caa7b,sans autorisation administrative préalable
e0f9549b2e4d,sans accord écrit du bailleur
4d1373c0bfe5,en application de l'article 15 du Code des Droits Réels tunisien
5458c788cb22,"en application de l'article 16 du Code des Droits Réels tunisien, au cas où l’exploitation domaniale agricole donnée en usufruit s’avère nécessaire en totalité ou en partie pour la réalisation d’un projet considéré d’utilité publique"
95b0a58ebf37,"dans le cas de la totalité ou une partie de l'immeuble, d'y édifier des bâtiments non autorisés, de faire apport sous forme de participation dans le capital d'une quelconque société, de contrevenir à l'une des conditions de bail"
948c80748cb7,"en cas de désaccord entre l'usufruitier et le nu-propriétaire, il n'est tenu compte que du vote de celui d'entre eux qui aura à verser effectivement une part contributive"
d72218197ab2,"si le preneur ou son héritier contrevient à l'une des dispositions susvisées, faute de quoi il est déchu de son droit par arrêté conjoint des ministres"
2c99a92ad28d,sous réserve des droits des créanciers inscrits
55d6b8ec0280,"en application de l'article 14 du Code des Droits Réels tunisien, avec la justification de l'accomplissement des formalités exigées par le décret du 9 mars 1939 sur l'expropriation pour cause d'utilité publique"
2b5bac4cfbef,"en application de l'article 14 du Code des Droits Réels tunisien, notamment au profit des entreprises publiques chargées de missions de production agricole, des groupements interprofessionnels dans le secteur agricole, des coopératives centrales et autres organismes et organisations dont l'activité revêt un caractère d'utilité publique"
b8702aa20838,à la demande de l'un des héritiers
af2691f00dac,en application de l'article 14 du Code des Droits Réels tunisien
98efb8861b58,si il y a désaccord sur le partage des papiers de famille ou des objets
5ea85ba64f9e,indépendamment de l'obligation principale
d305c2f6c250,à la charge de construire un mur sur cette limite
689ecb7b3587,qui ne sert qu'à la clôture
4124cca15bca,sur le vu du certificat de possession
299dbf4197b5,"dans certains cas par décret, au profit des entités mentionnées"
37678073117b,par acte authentique
0c4b829206a9,devant un notaire
