actor_id,action_id,target_id,article_id,condition_ids,relation,status,article_ref,quality_score,risk_score,priority,source_version,extraction_date,cleaning_date
2e0c464cd707,111622ada3e1,59ac1501c97a,57aeee35c982,2b7b46a46d02,CANNOT,interdit,229,9,90,high,2024,2026-04-18,2026-04-18
dace5f0f06d4,20f032f55f18,46a95d69c953,98f137082101,98940a9caa7b,CANNOT,interdit,20,9,88,high,2024,2026-04-18,2026-04-18
dace5f0f06d4,9f3e73fe352c,46a95d69c953,6f4922f45568,98940a9caa7b,CANNOT,interdit,18,9,78,high,2024,2026-04-18,2026-04-18
f5306c3a951e,923026e501ba,36783dfe8ed7,fb89705ae6d7,e0f9549b2e4d,CANNOT,interdit,727,9,72,high,2024,2026-04-18,2026-04-18
25faee667bb6,8597bbcbd414,44cb7472e094,9bf31c7ff062,4d1373c0bfe5,CANNOT,interdit,15,9,66,high,2024,2026-04-18,2026-04-18
25faee667bb6,745c6aadcc8c,44cb7472e094,9bf31c7ff062,4d1373c0bfe5,CANNOT,interdit,15,9,66,high,2024,2026-04-18,2026-04-18
25faee667bb6,f8b8ae3ce798,44cb7472e094,9bf31c7ff062,4d1373c0bfe5,CANNOT,interdit,15,9,66,high,2024,2026-04-18,2026-04-18
25faee667bb6,e325d0954ca9,8f52b21fcab1,9bf31c7ff062,4d1373c0bfe5,CANNOT,interdit,15,9,66,high,2024,2026-04-18,2026-04-18
67406fc49e00,bbb9d5261181,4b6d36cca007,c74d97b01eae,5458c788cb22,MUST,obligation,16,8,55,high,2024,2026-04-18,2026-04-18
b892928ac16e,65912c522806,44cb7472e094,9bf31c7ff062,95b0a58ebf37,CANNOT,interdit,15,9,54,high,2024,2026-04-18,2026-04-18
dace5f0f06d4,d9842add0b39,4ca5d171acaa,98dce83da57b,948c80748cb7,MUST,obligation,93,9,54,high,2024,2026-04-18,2026-04-18
b892928ac16e,c9137d572717,a1759a0876bd,9bf31c7ff062,d72218197ab2,CANNOT,interdit,15,8,53,high,2024,2026-04-18,2026-04-18
dace5f0f06d4,a190adbc2e0c,aba9694cc4d7,ed3d2c21991e,2c99a92ad28d,MUST,obligation,98,8,53,high,2024,2026-04-18,2026-04-18
941fad6b9218,d2a9642c095b,e4c139569f10,f7177163c833,,MUST,obligation,44,8,48,high,2024,2026-04-18,2026-04-18
941fad6b9218,5539d7eaf001,afa0a0a6ed04,f7177163c833,,MUST,obligation,44,8,48,high,2024,2026-04-18,2026-04-18
941fad6b9218,f2f3658d4804,01aad211a45c,f7177163c833,,MUST,obligation,44,8,48,high,2024,2026-04-18,2026-04-18
2fbf858aea52,02adb2fe2a15,bbbc258f975e,a87ff679a2f3,,MUST,obligation,4,7,47,medium,2024,2026-04-18,2026-04-18
3c34c7382eed,5e51ef689534,06a9d23e572a,a87ff679a2f3,,MUST,obligation,4,7,47,medium,2024,2026-04-18,2026-04-18
4ee6cb385d75,d65b4074a7af,ad7d1e52801f,aab3238922bc,55d6b8ec0280,MUST,obligation,14,8,45,high,2024,2026-04-18,2026-04-18
4ee6cb385d75,e93c113cd4de,3b09b5266c7e,aab3238922bc,2b5bac4cfbef,MUST,obligation,14,8,45,high,2024,2026-04-18,2026-04-18
4a773057ceb2,3182b6370670,a1759a0876bd,9bf31c7ff062,4d1373c0bfe5,MUST,obligation,15,8,45,high,2024,2026-04-18,2026-04-18
4a773057ceb2,070ceed14b4e,a1759a0876bd,9bf31c7ff062,4d1373c0bfe5,MUST,obligation,15,8,45,high,2024,2026-04-18,2026-04-18
b892928ac16e,fb4cdd5124c6,f76874dad9ec,7f1de29e6da1,b8702aa20838,MUST,obligation,135,9,38,high,2024,2026-04-18,2026-04-18
0f699dfaebac,38bc27ef6b83,ad7d1e52801f,aab3238922bc,af2691f00dac,MUST,obligation,14,9,34,high,2024,2026-04-18,2026-04-18
0f699dfaebac,decd0f313639,bb6900d2aa21,0f28b5d49b30,98efb8861b58,MUST,obligation,141,9,34,high,2024,2026-04-18,2026-04-18
2e0c464cd707,ac0e553ad607,d51c1f988e5b,d6baf65e0b24,5ea85ba64f9e,CAN,permis,264,9,30,high,2024,2026-04-18,2026-04-18
dace5f0f06d4,43c970f66fc4,8223c06138e8,68d30a959472,d305c2f6c250,CAN,permis,84,9,28,high,2024,2026-04-18,2026-04-18
dace5f0f06d4,6990e8f54055,036fb4bbb268,68d30a959472,689ecb7b3587,CAN,permis,84,8,27,high,2024,2026-04-18,2026-04-18
dace5f0f06d4,af8495b57347,fc4cb40b27e3,a684eceee76f,,CAN,permis,54,8,20,high,2024,2026-04-18,2026-04-18
2e0c464cd707,4a752fff2396,69718cb542d1,d6baf65e0b24,5ea85ba64f9e,CAN,permis,264,9,20,high,2024,2026-04-18,2026-04-18
2e0c464cd707,91508939b118,886349914fb2,d6baf65e0b24,5ea85ba64f9e,CAN,permis,264,9,20,high,2024,2026-04-18,2026-04-18
2e0c464cd707,50c6156b4119,69718cb542d1,d6baf65e0b24,5ea85ba64f9e,CAN,permis,264,9,20,high,2024,2026-04-18,2026-04-18
941fad6b9218,7043e2c71798,ee90bce16250,a684eceee76f,,CAN,permis,54,8,18,high,2024,2026-04-18,2026-04-18
5810d09eb743,39f0d006d274,dcf325fed2af,c81e728d9d4c,4124cca15bca,CAN,permis,2,8,15,high,2024,2026-04-18,2026-04-18
91538f395267,f7153f5f6e7f,c4b24988c044,d6baf65e0b24,5ea85ba64f9e,CAN,permis,264,8,15,high,2024,2026-04-18,2026-04-18
91538f395267,9f80f61d43f8,c4b24988c044,d6baf65e0b24,5ea85ba64f9e,CAN,permis,264,8,15,high,2024,2026-04-18,2026-04-18
b892928ac16e,5ebfb89eb897,456f6b072d75,aab3238922bc,299dbf4197b5,CAN,permis,14,8,13,high,2024,2026-04-18,2026-04-18
