id,name
59ac1501c97a,préjudice des créanciers ou cohéritiers qui ne sont pas encore désintéressés
46a95d69c953,bâtiment
36783dfe8ed7,bien loué
44cb7472e094,immeuble loué par l'Etat
8f52b21fcab1,contrat de location
4b6d36cca007,contrat d'usufruit
4ca5d171acaa,vote
a1759a0876bd,preneur ou son héritier
aba9694cc4d7,au point de vue de la reconstruction
e4c139569f10,fruits
afa0a0a6ed04,frais d'entretien et perception des fruits
01aad211a45c,vices
bbbc258f975e,dossier
06a9d23e572a,certificat de possession
ad7d1e52801f,immeuble frappé d'expropriation
3b09b5266c7e,bail
f76874dad9ec,héritiers
bb6900d2aa21,papiers de famille ou objets auxquels peuvent tenir les héritiers
d51c1f988e5b,chose donnée en gage
8223c06138e8,haie mitoyenne
036fb4bbb268,fossé mitoyen
fc4cb40b27e3,meubles ou titres au porteur
69718cb542d1,gage
886349914fb2,dette avec le gage
ee90bce16250,prix par lui payé
dcf325fed2af,biens du débiteur
c4b24988c044,droit de la partie
456f6b072d75,"entreprises publiques, groupements interprofessionnels, coopératives centrales, autres organismes et organisations"
80b304dc8a66,bien immobilier
